investor,context,feature,context_z,mean,p10,p90
foreign,fx_level_z_252,underwater,1.25,9.789475201007338e-05,-0.00912465769797563,0.009883438178803704
foreign,fx_level_z_252,underwater,1.3000000000000003,-0.00027546595044745443,-0.009702988024801013,0.009911049152724276
foreign,fx_level_z_252,underwater,1.35,-0.0006488266529049789,-0.010459517072886221,0.009951988991815507
foreign,fx_level_z_252,underwater,1.4000000000000004,-0.0010221873553625067,-0.011274276077747338,0.009957914706319453
foreign,fx_level_z_252,underwater,1.4500000000000002,-0.001395548057820031,-0.012155755814164873,0.010000368533655882
foreign,fx_level_z_252,underwater,1.5,-0.0017689087602775556,-0.01305799987167119,0.01004282236099231
foreign,fx_level_z_252,underwater,1.5500000000000003,-0.002142269462735084,-0.013960243929177517,0.01008527618832874
foreign,fx_level_z_252,underwater,1.6,-0.0025156301651926075,-0.014862487986683832,0.01012773001566517
foreign,fx_level_z_252,underwater,1.6500000000000004,-0.0028889908676501355,-0.01576473204419016,0.0101701838430016
foreign,fx_level_z_252,underwater,1.7000000000000002,-0.0032623515701076596,-0.016451580356806498,0.010212637670338028
foreign,fx_level_z_252,underwater,1.75,-0.003635712272565184,-0.017137745628133395,0.010255091497674458
foreign,fx_level_z_252,underwater,1.8000000000000003,-0.0040090729750227126,-0.017823910899460296,0.010285652214661111
foreign,fx_level_z_252,underwater,1.85,-0.004382433677480237,-0.01851007617078719,0.010306694837054174
foreign,fx_level_z_252,underwater,1.9000000000000004,-0.004755794379937764,-0.019196241442114088,0.01037441435502836
foreign,fx_level_z_252,underwater,1.9500000000000002,-0.005129155082395289,-0.01999352955259384,0.010442133873002541
foreign,fx_level_z_252,underwater,2.0,-0.0055025157848528124,-0.020792721956968317,0.010509853390976725
foreign,kospi_return_1d,herd,-2.0,-0.043295280546105076,-0.06247438229620448,-0.023651007562875796
foreign,kospi_return_1d,herd,-1.95,-0.043217555163331096,-0.06208775081671766,-0.024223716184496927
foreign,kospi_return_1d,herd,-1.9,-0.04313982978055712,-0.06170111933723084,-0.024796424806118055
foreign,kospi_return_1d,herd,-1.85,-0.04306210439778313,-0.061314487857744016,-0.025369133427739183
foreign,kospi_return_1d,herd,-1.8,-0.04298437901500916,-0.06092785637825719,-0.025941842049360314
foreign,kospi_return_1d,herd,-1.75,-0.04290665363223518,-0.06054122489877037,-0.026514550670981442
foreign,kospi_return_1d,herd,-1.7,-0.04282892824946119,-0.06015459341928355,-0.026989817774156148
foreign,kospi_return_1d,herd,-1.65,-0.04275120286668721,-0.05976796193979673,-0.027290439475036718
foreign,kospi_return_1d,herd,-1.6,-0.04267347748391323,-0.059381330460309904,-0.027538033267483136
foreign,kospi_return_1d,herd,-1.55,-0.04259575210113924,-0.05899469898082308,-0.027785627059929558
foreign,kospi_return_1d,herd,-1.5,-0.042518026718365264,-0.05856771087273945,-0.027872216692776338
foreign,kospi_return_1d,herd,-1.45,-0.042440301335591284,-0.05813077026046803,-0.02811769776046263
foreign,kospi_return_1d,herd,-1.4,-0.042362575952817304,-0.0576938296481966,-0.028396409153938165
foreign,kospi_return_1d,herd,-1.35,-0.042284850570043324,-0.05725688903592518,-0.02851932149846092
foreign,kospi_return_1d,herd,-1.2999999999999998,-0.042207125187269344,-0.05681994842365375,-0.02863073407672331
foreign,kospi_return_1d,herd,-1.25,-0.042129399804495364,-0.05638300781138232,-0.028742146654985697
foreign,kospi_return_1d,herd,-1.2,-0.04205167442172138,-0.055946067199110903,-0.0288534925878047
foreign,kospi_return_1d,herd,-1.15,-0.0419739490389474,-0.05550912658683947,-0.02891976004000759
foreign,kospi_return_1d,herd,-1.1,-0.04189622365617342,-0.055072185974568054,-0.02928908973000949
foreign,kospi_return_1d,herd,-1.0499999999999998,-0.04181849827339944,-0.05463524536229662,-0.029658419420011396
foreign,kospi_return_1d,herd,-1.0,-0.04174077289062546,-0.054198304750025204,-0.030027749110013296
foreign,kospi_return_1d,herd,-0.95,-0.04166304750785148,-0.053780063176527504,-0.0303970788000152
foreign,kospi_return_1d,herd,-0.8999999999999999,-0.04158532212507749,-0.05337062856182445,-0.030766408490017102
