split,investor,parameter,term,weight
28,retail,alpha,fx_level_z_252,0.0289050657302141
29,foreign,alpha,kospi_return_1d,0.0469737946987152
29,foreign,alpha,fx_level_z_252,-0.0172459334135055
29,institution,alpha,kospi_return_1d,-0.0040702624246478
29,institution,alpha,fx_level_z_252,-0.0032289503142237
29,retail,alpha,kospi_return_1d,-0.0291697904467582
29,retail,alpha,fx_level_z_252,0.0199297126382589
30,foreign,alpha,kospi_return_1d,0.0375980362296104
30,foreign,alpha,fx_level_z_252,-0.0259761326014995
30,institution,alpha,kospi_return_1d,-0.0040568858385086
30,institution,alpha,fx_level_z_252,-0.0004285635950509
