split,investor,train_size,test_size,train_mse,train_rmse,mae,rmse,mse,direction_accuracy,correlation,saturation_rate,actual_mean,predicted_mean
39,institution,772,194,0.014824924059212208,0.12175764476702154,0.08969743397133664,0.12714502604802685,0.016165857648753425,0.5824742268041238,0.11120431082808788,0.0,-0.005746738978279946,-0.0017918355513325671
39,retail,772,194,0.10452025549708253,0.3232959255807016,0.1943992868536296,0.2395197714201353,0.057369720901153866,0.6597938144329897,0.32395313897007,0.0,0.08788888847224952,0.07549344629202921
40,foreign,765,194,0.05059810161493183,0.22494021786895252,0.20835579993274092,0.256435749421647,0.06575929358144172,0.5979381443298969,0.35666290812745566,0.0,-0.03953759394167231,0.00027982222117944476
40,institution,765,194,0.015069958753883839,0.12275976032024435,0.0918023472292692,0.12520549908404557,0.01567641700088494,0.5876288659793815,0.09385622084883322,0.0,-0.00914593628255444,-0.0008098339144687754
40,retail,765,194,0.09608046334553388,0.3099684876653333,0.24796489389258025,0.30329516169450504,0.09198795510729596,0.6649484536082474,0.37520160677608594,0.0,0.05319903542998141,0.007372382327376567
41,foreign,768,197,0.04942019532124201,0.22230653458961122,0.2110365845515927,0.2654749898896708,0.0704769702569208,0.6243654822335025,0.32872972388161426,0.0,-0.012793330398865687,0.008304763880799416
41,institution,768,197,0.013505789451301098,0.11621441154736833,0.10965664337757328,0.14776432924142957,0.0218342969961696,0.5279187817258884,0.05377218924706908,0.0,0.009866679759033091,-0.001104781191989893
41,retail,768,197,0.09703263640403748,0.31150062023058234,0.24214861124309564,0.2988392352189983,0.0893048885062758,0.6294416243654822,0.39390022436298505,0.0,-0.008828481493829773,-0.012411331145688513
42,foreign,772,194,0.054711211492051735,0.2339042784817151,0.17489860202371835,0.21911572872179239,0.04801170257328211,0.6804123711340206,0.36295523369148497,0.0,-0.07328701147073928,-0.03543960274024338
42,institution,772,194,0.01612921990454197,0.1270008657629623,0.0831846808551117,0.10490403525468558,0.011004856612716317,0.5721649484536082,0.1209644869466154,0.0,-0.001332631760268453,-0.00398064310393613
42,retail,772,194,0.09760551864927915,0.3124188192943555,0.22610809761771605,0.2833922892133007,0.08031118958555507,0.634020618556701,0.325074070268048,0.0,0.044351885164847844,0.019708906482789935
43,foreign,768,197,0.052442518373330436,0.22900331520161546,0.18811612313514017,0.2416133060750901,0.05837698967253518,0.6243654822335025,0.317666177518619,0.0,-0.04602879740718544,0.004266271020195962
43,institution,768,197,0.014555160887539387,0.12064477148861191,0.1055572171555773,0.13398690112405412,0.017952489672827053,0.47715736040609136,0.09622010251834986,0.0,0.017560999948492386,-0.01359930256769288
43,retail,768,197,0.09860509882370631,0.3140144882385307,0.2231133327710674,0.27998883328545937,0.07839374676455275,0.6040609137055838,0.3493714742007786,0.0,-0.01754090358233694,-0.005103305502213197
44,foreign,775,197,0.05152884908260838,0.22699966758259443,0.2097405906170394,0.2593716572480272,0.0672736565835881,0.5685279187817259,0.2543979982632006,0.0,0.017617767958294336,0.09028298568647108
44,institution,775,197,0.014733233489096165,0.12138053175487477,0.1031071655446342,0.12839809178104064,0.016486069973012538,0.5482233502538071,0.09918155794059848,0.0,0.014213567070171313,-0.006699526872188042
44,retail,775,197,0.08980371212767016,0.29967267497666544,0.27810794684497003,0.33953793956900563,0.11528601240676573,0.6243654822335025,0.2673608648204478,0.0,-0.051702484750864926,-0.08014678650152714
