split,investor,feature,context,weight
25,institution,underwater,kospi_return_1d,0.003347989171743393
25,institution,underwater,fx_level_z_252,0.0009745381539687514
25,retail,momentum,kospi_return_1d,0.0004473016015253961
25,retail,momentum,fx_level_z_252,-0.0014666097704321146
25,retail,persist,kospi_return_1d,-0.015512640587985516
25,retail,persist,fx_level_z_252,0.001511860522441566
25,retail,underwater,kospi_return_1d,-0.0007575891213491559
25,retail,underwater,fx_level_z_252,-0.023696674033999443
26,foreign,momentum,kospi_return_1d,-0.01455756276845932
26,foreign,momentum,fx_level_z_252,0.0026935457717627287
26,foreign,persist,kospi_return_1d,-0.00030714692547917366
26,foreign,persist,fx_level_z_252,-0.0003125318617094308
26,foreign,underwater,kospi_return_1d,0.0005661327159032226
26,foreign,underwater,fx_level_z_252,-0.00034334941301494837
26,institution,momentum,kospi_return_1d,0.0024132446851581335
26,institution,momentum,fx_level_z_252,0.0012102171313017607
26,institution,persist,kospi_return_1d,-0.0009443160379305482
26,institution,persist,fx_level_z_252,0.00035354861756786704
26,institution,underwater,kospi_return_1d,0.004659957718104124
26,institution,underwater,fx_level_z_252,0.003037890652194619
26,retail,momentum,kospi_return_1d,-0.002415519440546632
26,retail,momentum,fx_level_z_252,-0.000917569559533149
26,retail,persist,kospi_return_1d,-0.009726284071803093
26,retail,persist,fx_level_z_252,0.0021674868185073137
26,retail,underwater,kospi_return_1d,-0.0020423470996320248
26,retail,underwater,fx_level_z_252,-0.0005596830742433667
27,foreign,momentum,kospi_return_1d,-0.009670247323811054
27,foreign,momentum,fx_level_z_252,-0.000435379653936252
27,foreign,persist,kospi_return_1d,7.014750735834241e-07
27,foreign,persist,fx_level_z_252,-0.00018410930351819843
27,foreign,underwater,kospi_return_1d,-0.00232021720148623
27,foreign,underwater,fx_level_z_252,-0.007874900475144386
